"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2016-08-01T04:00:00.000Z","9,588.00","9,588.00","9,588.00","9,588.00","0.5031","-0.0011",""
"2016-09-01T04:00:00.000Z","9,710.00","9,710.00","9,710.00","9,710.00","1.27","0.7682",""
"2016-10-03T04:00:00.000Z","9,483.00","9,483.00","9,483.00","9,483.00","-2.34","-2.84",""
"2016-11-01T04:00:00.000Z","9,314.00","9,314.00","9,314.00","9,314.00","-1.78","-2.29",""
"2016-12-01T05:00:00.000Z","9,564.00","9,564.00","9,564.00","9,564.00","2.68","2.18",""
"2017-01-02T05:00:00.000Z","9,887.00","9,887.00","9,887.00","9,887.00","3.38","2.87",""
"2017-02-01T05:00:00.000Z","9,986.00","9,986.00","9,986.00","9,986.00","1.00","0.4971",""
"2017-03-01T05:00:00.000Z","10,301","10,301","10,301","10,301","3.15","2.65",""
"2017-04-03T04:00:00.000Z","10,567","10,567","10,567","10,567","2.58","2.08",""
"2017-05-01T04:00:00.000Z","10,939","10,939","10,939","10,939","3.52","3.02",""
"2017-06-01T04:00:00.000Z","10,948","10,948","10,948","10,948","0.0823","-0.4219",""
"2017-07-03T04:00:00.000Z","11,246","11,246","11,246","11,246","2.72","2.22",""
"2017-08-01T04:00:00.000Z","11,246","11,246","11,246","11,246","","-0.5042",""
"2017-09-01T04:00:00.000Z","11,511","11,511","11,511","11,511","2.36","1.85",""
"2017-10-02T04:00:00.000Z","11,702","11,702","11,702","11,702","1.66","1.16",""
"2017-11-01T04:00:00.000Z","11,793","11,793","11,793","11,793","0.7776","0.2734",""
"2017-12-01T05:00:00.000Z","11,940","11,940","11,940","11,940","1.25","0.7423",""
"2018-01-01T05:00:00.000Z","12,558","12,558","12,558","12,558","5.18","4.67",""
"2018-02-01T05:00:00.000Z","11,923","11,923","11,923","11,923","-5.06","-5.56",""
"2018-03-01T05:00:00.000Z","11,838","11,838","11,838","11,838","-0.7129","-1.22",""
"2018-04-02T04:00:00.000Z","12,024","12,024","12,024","12,024","1.57","1.07",""
